year,county,population,assault,arson,burglary,drug violation,murder,theft,rape,robbery,total
1990,ADAMS,13603,14,1,10,27,1,55,1,1,1398
1991,ADAMS,13798,33,0,12,45,1,76,6,0,1538
1992,ADAMS,14143,14,0,25,45,1,117,11,0,1175
1993,ADAMS,14535,29,0,6,37,0,136,2,4,1129
1994,ADAMS,15006,36,1,12,37,0,53,5,4,1047
1995,ADAMS,15366,26,1,23,38,2,138,1,1,1169
1996,ADAMS,15674,26,0,20,59,1,80,4,5,1078
1997,ADAMS,15989,24,2,14,55,0,57,2,0,941
1998,ADAMS,16091,21,0,26,46,0,44,3,5,931
1999,ADAMS,16190,18,1,28,45,0,31,0,0,812
2000,ADAMS,16428,16,0,21,40,0,45,3,5,754
2001,ADAMS,16600,18,0,20,25,0,64,10,4,781
2002,ADAMS,16600,12,2,25,30,0,65,3,5,778
2003,ADAMS,16600,17,0,18,39,0,67,6,0,904
2004,ADAMS,16700,24,0,20,86,0,53,9,6,959
2005,ADAMS,17000,20,0,24,78,0,66,7,6,848
2006,ADAMS,17300,17,0,36,66,1,52,4,0,867
2007,ADAMS,17600,15,0,38,67,1,63,9,1,924
2008,ADAMS,17800,15,1,21,73,0,60,7,0,948
2009,ADAMS,18000,17,0,23,46,0,62,4,10,902
2010,ADAMS,18300,14,0,17,42,0,81,2,8,761
2011,ADAMS,18950,18,0,31,43,0,91,2,1,483
2012,ADAMS,19050,9,0,12,19,0,42,3,0,261
2013,ADAMS,19200,145,0,8,13,1,41,4,3,376
2014,ADAMS,19400,127,6,26,32,1,72,4,0,488
2015,ADAMS,19410,119,2,23,43,0,68,8,8,511
2016,ADAMS,19510,146,0,10,72,1,67,6,3,584
2017,ADAMS,19870,109,1,16,78,1,50,2,5,466
2018,ADAMS,20020,103,0,12,46,1,41,5,2,443
2019,ADAMS,20150,92,0,4,41,0,40,4,1,401
2020,ADAMS,20450,77,0,15,20,1,36,6,2,291
1990,ASOTIN,17605,10,2,11,18,2,73,2,0,456
1991,ASOTIN,17941,24,0,19,47,0,66,1,2,558
1992,ASOTIN,18222,43,0,6,33,0,87,3,0,598
1993,ASOTIN,18686,6,0,6,63,0,77,1,1,753
1994,ASOTIN,19279,26,1,8,95,1,64,0,2,770
1995,ASOTIN,19574,14,0,8,78,0,115,3,1,792
1996,ASOTIN,20053,10,1,7,60,0,81,4,4,634
1997,ASOTIN,20273,13,1,6,57,0,78,1,1,837
1998,ASOTIN,20784,14,0,19,85,0,97,8,3,871
1999,ASOTIN,20614,15,0,20,69,0,127,2,1,962
2000,ASOTIN,20551,17,0,11,50,0,86,3,4,895
2001,ASOTIN,20700,22,3,13,112,0,70,2,4,1190
2002,ASOTIN,20700,11,1,26,82,0,51,1,2,954
2003,ASOTIN,20600,14,0,9,94,0,45,2,1,1052
2004,ASOTIN,20700,15,2,15,124,1,60,1,1,1265
2005,ASOTIN,20900,15,1,12,118,3,59,2,5,1378
2006,ASOTIN,21100,20,0,19,145,1,46,1,0,1715
2007,ASOTIN,21300,11,0,16,114,0,53,0,5,1442
2008,ASOTIN,21400,10,1,14,65,0,50,0,2,1690
2009,ASOTIN,21500,19,0,10,38,0,44,1,6,1448
2010,ASOTIN,21700,4,0,11,70,0,78,5,1,1710
2011,ASOTIN,21650,14,3,7,80,0,97,0,2,1671
2012,ASOTIN,21700,5,0,6,39,0,94,0,1,1073
2013,ASOTIN,21800,119,0,18,28,0,134,1,8,1682
2014,ASOTIN,21950,94,0,12,22,1,55,0,0,1303
2015,ASOTIN,22010,125,0,16,12,2,174,1,2,1418
2016,ASOTIN,22150,117,0,16,16,2,162,1,3,1474
2017,ASOTIN,22290,25,0,2,12,1,8,1,2,1194
2018,ASOTIN,22420,20,0,9,5,0,32,0,1,1293
2019,ASOTIN,22520,36,0,15,11,0,79,0,0,1199
2020,ASOTIN,22640,75,0,6,14,0,44,0,0,681
1990,BENTON,112560,103,2,121,140,4,734,13,17,5253
1991,BENTON,114898,85,2,75,184,3,641,19,7,5654
1992,BENTON,117981,77,4,108,308,0,644,33,20,6299
1993,BENTON,121967,102,3,76,401,4,602,18,13,6629
1994,BENTON,125683,118,5,86,420,1,721,16,21,7270
1995,BENTON,130266,143,2,84,458,4,768,14,28,8555
1996,BENTON,133252,108,4,55,422,3,500,13,20,8590
1997,BENTON,136503,118,4,121,457,1,485,12,27,8226
1998,BENTON,137905,116,10,96,513,5,787,21,22,9950
1999,BENTON,140415,103,7,93,554,2,645,15,22,8870
2000,BENTON,142475,142,11,111,562,3,652,20,14,8377
2001,BENTON,144800,137,4,113,487,0,633,17,21,8883
2002,BENTON,147600,107,7,120,566,2,632,11,23,9208
2003,BENTON,151600,144,10,128,734,2,666,9,12,9720
2004,BENTON,155100,101,4,149,895,2,721,18,27,9561
2005,BENTON,158100,158,11,135,969,5,698,21,22,10303
2006,BENTON,160600,172,4,132,964,4,652,17,23,11564
2007,BENTON,162900,143,6,111,918,3,650,13,27,12420
2008,BENTON,165500,166,6,147,897,3,698,12,30,13004
2009,BENTON,169300,164,5,123,880,1,759,14,32,13729
2010,BENTON,172900,172,3,141,858,2,754,10,26,13441
2011,BENTON,177900,161,4,93,694,3,611,5,18,6818
2012,BENTON,180000,106,3,56,436,0,442,4,29,3733
2013,BENTON,183400,942,0,97,359,8,986,16,21,5188
2014,BENTON,186500,980,2,117,322,2,1063,18,22,5240
2015,BENTON,188590,874,2,114,349,3,997,22,17,4721
2016,BENTON,190500,845,3,88,310,2,930,30,23,4369
2017,BENTON,193500,869,3,99,327,3,909,28,32,4510
2018,BENTON,197420,879,2,112,344,3,1049,38,25,4846
2019,BENTON,201800,967,2,125,355,2,1104,23,22,5229
2020,BENTON,205700,977,1,177,286,7,997,40,46,4576
1990,CHELAN,52250,60,2,55,227,1,358,11,15,3831
1991,CHELAN,53917,76,1,53,167,0,374,14,7,3778
1992,CHELAN,55671,58,7,89,209,4,378,12,19,4267
1993,CHELAN,57933,44,2,56,198,3,442,8,11,4117
1994,CHELAN,60977,73,1,53,236,2,578,24,17,4631
1995,CHELAN,63839,79,2,97,339,4,568,33,9,4631
1996,CHELAN,64894,86,0,69,256,0,445,7,14,4267
1997,CHELAN,65936,70,1,49,306,0,424,14,13,4783
1998,CHELAN,66411,69,1,71,244,1,419,7,4,4497
1999,CHELAN,66913,64,0,56,254,0,427,2,7,4252
2000,CHELAN,66616,35,0,23,162,2,228,9,3,2383
2001,CHELAN,67100,43,0,42,209,1,242,5,8,2681
2002,CHELAN,67600,33,0,54,234,3,263,6,15,2687
2003,CHELAN,67900,35,2,30,319,1,242,9,15,2869
2004,CHELAN,68400,48,0,47,295,2,270,12,8,2481
2005,CHELAN,69200,47,1,39,234,2,245,6,12,2354
2006,CHELAN,70100,43,1,25,369,0,233,4,18,2532
2007,CHELAN,71200,48,2,34,360,1,254,12,5,2636
2008,CHELAN,72100,50,1,50,311,3,195,8,6,2420
2009,CHELAN,72600,69,0,43,275,0,187,3,8,2346
2010,CHELAN,73300,47,1,52,255,2,212,14,6,2192
2011,CHELAN,72700,55,0,38,194,2,217,3,9,1945
2012,CHELAN,73200,41,0,36,135,1,229,4,8,1400
2013,CHELAN,73600,431,2,36,167,0,419,11,9,2068
2014,CHELAN,74300,399,4,52,202,1,381,5,8,1902
2015,CHELAN,75030,464,2,50,191,0,371,12,3,2054
2016,CHELAN,75910,430,2,63,238,0,326,15,8,2061
2017,CHELAN,76830,415,2,44,242,2,272,13,11,1983
2018,CHELAN,77800,426,2,53,258,0,248,20,9,2101
2019,CHELAN,78420,349,0,30,296,0,164,15,11,2076
2020,CHELAN,79660,304,0,22,216,3,133,10,0,1511
1990,CLALLAM,56204,30,3,32,64,1,182,6,2,2865
1991,CLALLAM,57847,27,3,31,73,1,303,11,4,2835
1992,CLALLAM,58776,46,1,40,108,1,259,12,9,2153
1993,CLALLAM,59860,16,1,21,91,1,215,2,4,1561
1994,CLALLAM,60691,48,5,51,179,2,263,8,4,2110
1995,CLALLAM,61461,76,16,74,164,2,239,7,11,2324
1996,CLALLAM,62343,47,2,71,179,0,230,11,6,2145
1997,CLALLAM,62889,61,8,54,187,1,201,8,4,1856
1998,CLALLAM,63444,51,2,55,151,1,173,9,11,1562
1999,CLALLAM,64365,35,6,41,179,0,211,6,7,1714
2000,CLALLAM,64179,38,5,57,186,1,234,0,3,2868
2001,CLALLAM,64454,55,8,73,207,5,235,7,5,2840
2002,CLALLAM,64900,46,7,68,247,1,252,1,13,2803
2003,CLALLAM,65300,66,2,67,248,0,271,6,3,2571
2004,CLALLAM,65900,67,5,65,248,3,232,12,13,2382
2005,CLALLAM,66800,65,6,87,238,2,262,16,8,2442
2006,CLALLAM,67800,71,0,81,270,5,222,11,4,2632
2007,CLALLAM,68500,67,2,51,297,1,265,8,8,2701
2008,CLALLAM,69200,71,9,56,208,0,260,19,11,2940
2009,CLALLAM,69500,78,1,69,203,5,244,18,16,2876
2010,CLALLAM,70100,37,1,38,158,0,151,1,4,1047
2011,CLALLAM,71600,44,1,40,161,2,257,5,7,1622
2012,CLALLAM,72000,51,0,39,111,3,266,3,8,1245
2013,CLALLAM,72350,434,3,80,164,0,518,5,12,1917
2014,CLALLAM,72500,448,0,78,204,6,437,8,14,1835
2015,CLALLAM,72650,451,1,67,147,1,445,7,9,1745
2016,CLALLAM,73410,436,4,51,168,1,374,5,3,1729
2017,CLALLAM,74240,367,1,45,189,2,401,3,8,1673
2018,CLALLAM,75130,397,2,50,176,0,363,6,11,1652
2019,CLALLAM,76010,415,3,51,170,4,346,8,11,1674
2020,CLALLAM,76770,377,4,57,116,2,244,12,8,1298
1990,CLARK,238053,143,7,166,344,11,1193,41,28,7402
1991,CLARK,248435,185,9,198,323,0,1001,18,60,7165
1992,CLARK,256011,218,9,152,422,6,1060,18,56,7625
1993,CLARK,267748,255,10,145,446,7,863,29,34,6567
1994,CLARK,277670,240,8,206,754,6,1196,37,81,8905
1995,CLARK,290111,315,4,231,886,10,1313,29,78,8458
1996,CLARK,304348,266,3,186,736,5,975,24,52,7777
1997,CLARK,317324,305,3,176,796,6,1111,14,81,8166
1998,CLARK,327818,373,7,187,747,4,992,12,52,7992
1999,CLARK,337625,280,7,290,972,4,1191,17,81,8861
2000,CLARK,345238,308,17,288,1327,2,1435,16,102,9993
2001,CLARK,352600,386,9,326,1356,6,1672,25,84,9296
2002,CLARK,363400,266,11,350,1236,2,1716,44,110,8357
2003,CLARK,372300,236,3,351,1166,0,1742,40,86,9138
2004,CLARK,383300,230,11,383,1089,9,1804,46,115,9698
2005,CLARK,391500,192,11,392,1231,13,1813,51,121,9892
2006,CLARK,403500,175,29,337,1164,3,1375,62,97,9412
2007,CLARK,415000,174,16,254,1172,1,1480,23,121,9636
2008,CLARK,424200,169,14,260,909,1,1484,32,130,8910
2009,CLARK,431200,197,18,250,746,5,1729,64,127,9194
2010,CLARK,435600,170,24,265,689,1,1733,36,113,8572
2011,CLARK,428001,230,9,348,613,2,2037,35,124,9258
2012,CLARK,431250,179,12,344,682,8,1738,24,132,12129
2013,CLARK,435500,1457,12,234,545,1,1364,26,111,11689
2014,CLARK,442800,1500,9,230,513,5,1274,27,89,10196
2015,CLARK,451820,1370,15,295,519,2,1346,28,86,10101
2016,CLARK,461010,1144,5,204,506,4,897,19,57,8632
2017,CLARK,471000,1095,6,165,494,9,668,12,60,7917
2018,CLARK,479500,1183,8,210,362,6,702,25,76,7688
2019,CLARK,488500,1085,3,266,479,3,781,25,74,8578
2020,CLARK,499200,1274,19,266,337,2,681,23,67,5955
1990,COLUMBIA,4024,0,0,7,5,0,9,0,0,99
1991,COLUMBIA,4153,1,1,4,11,0,16,0,0,204
1992,COLUMBIA,4216,2,0,8,11,0,15,1,0,262
1993,COLUMBIA,4475,3,0,2,5,0,13,3,0,245
1994,COLUMBIA,4402,2,0,5,7,0,19,1,0,166
1995,COLUMBIA,4704,2,0,6,11,0,8,0,2,159
1996,COLUMBIA,4772,2,0,7,14,0,13,0,0,213
1997,COLUMBIA,4527,2,0,2,9,0,7,0,1,112
1998,COLUMBIA,4484,2,0,4,22,0,17,0,1,145
1999,COLUMBIA,4272,4,0,10,21,0,11,0,0,188
2000,COLUMBIA,4064,6,0,10,22,0,8,0,0,158
2001,COLUMBIA,4100,5,0,3,28,0,17,0,0,178
2002,COLUMBIA,4100,1,0,3,36,1,14,0,0,177
2003,COLUMBIA,4100,3,0,3,10,0,7,1,0,99
2004,COLUMBIA,4100,3,1,5,4,1,8,0,0,112
2005,COLUMBIA,4100,3,0,6,13,0,9,0,3,134
2006,COLUMBIA,4100,2,0,2,18,0,11,0,0,101
2007,COLUMBIA,4100,2,0,7,18,0,12,0,0,154
2008,COLUMBIA,4100,2,0,8,11,0,12,0,0,97
2009,COLUMBIA,4100,2,0,2,8,0,10,0,0,86
2010,COLUMBIA,4150,2,0,4,7,1,8,0,0,89
2011,COLUMBIA,4100,3,0,1,8,0,10,0,0,78
2012,COLUMBIA,4100,2,0,4,0,1,4,0,0,19
2013,COLUMBIA,4100,3,0,1,0,0,4,0,0,16
2014,COLUMBIA,4080,0,0,0,0,0,0,0,0,0
2015,COLUMBIA,4090,0,0,0,0,0,0,0,0,0
2016,COLUMBIA,4050,1,0,0,0,0,0,0,0,7
2017,COLUMBIA,4100,17,0,2,0,0,2,0,0,36
2018,COLUMBIA,4150,12,0,2,1,0,5,1,0,29
2019,COLUMBIA,4160,14,0,3,0,0,8,1,0,44
2020,COLUMBIA,4185,10,0,3,1,0,1,0,0,28
1990,COWLITZ,82119,51,0,85,202,0,462,23,11,4428
1991,COWLITZ,83750,92,3,85,383,5,521,23,17,4554
1992,COWLITZ,84279,51,1,71,177,2,339,11,7,3536
1993,COWLITZ,86012,51,0,47,225,2,216,15,6,2621
1994,COWLITZ,87220,21,0,14,38,0,98,5,10,1549
1995,COWLITZ,88215,102,4,67,169,4,462,25,13,4309
1996,COWLITZ,90044,67,1,123,211,6,547,13,5,4393
1997,COWLITZ,90728,95,5,91,235,1,561,23,9,4536
1998,COWLITZ,91608,110,3,125,241,2,440,20,17,4696
1999,COWLITZ,92700,112,3,110,201,8,499,23,10,4024
2000,COWLITZ,92948,96,1,104,229,2,408,18,32,4019
2001,COWLITZ,93900,132,4,103,273,1,393,20,19,3818
2002,COWLITZ,94400,102,0,103,233,3,275,19,13,2794
2003,COWLITZ,94900,116,6,104,347,3,353,18,17,3613
2004,COWLITZ,95300,171,2,104,394,2,536,17,28,4036
2005,COWLITZ,95900,147,8,135,423,7,590,31,26,4801
2006,COWLITZ,96800,118,6,114,522,6,566,23,24,6162
2007,COWLITZ,97800,130,10,98,504,4,574,24,20,6425
2008,COWLITZ,99000,134,2,86,384,3,534,40,29,5813
2009,COWLITZ,99600,128,2,102,394,1,683,21,15,5851
2010,COWLITZ,100000,118,5,88,431,2,588,29,30,4836
2011,COWLITZ,102700,126,9,125,470,3,728,25,37,3954
2012,COWLITZ,103050,105,5,98,333,1,657,21,40,3112
2013,COWLITZ,103300,845,4,175,458,2,1004,40,43,4379
2014,COWLITZ,103700,775,2,129,515,1,1149,23,22,4414
2015,COWLITZ,104280,750,2,103,541,4,966,26,26,4928
2016,COWLITZ,104850,723,1,116,619,0,979,25,43,5278
2017,COWLITZ,105900,675,1,91,623,2,867,32,19,4897
2018,COWLITZ,107310,684,4,102,615,1,747,15,20,5316
2019,COWLITZ,108950,335,1,38,300,3,368,6,5,3779
2020,COWLITZ,110500,483,3,66,313,0,392,20,18,3177
1990,DOUGLAS,26205,30,1,13,31,1,238,6,0,1102
1991,DOUGLAS,27033,30,0,16,31,0,221,5,6,1076
1992,DOUGLAS,27999,25,0,17,41,1,255,3,0,1294
1993,DOUGLAS,28816,35,0,7,58,3,273,10,0,1262
1994,DOUGLAS,29750,25,2,14,35,0,227,5,0,1070
1995,DOUGLAS,30031,27,2,31,57,1,262,5,2,1220
1996,DOUGLAS,30532,24,1,17,57,1,292,6,0,1155
1997,DOUGLAS,31252,29,0,28,68,2,258,6,6,1165
1998,DOUGLAS,32043,22,0,30,65,0,253,3,0,1021
1999,DOUGLAS,32524,14,1,21,62,2,241,3,1,1037
2000,DOUGLAS,32603,18,0,28,91,1,112,3,1,1032
2001,DOUGLAS,32800,21,0,30,81,0,174,4,0,1063
2002,DOUGLAS,33100,18,0,20,76,1,207,3,1,1036
2003,DOUGLAS,33600,18,2,22,87,2,207,3,0,1163
2004,DOUGLAS,34200,27,0,13,76,3,204,2,4,1100
2005,DOUGLAS,34700,22,1,21,67,0,127,5,8,966
2006,DOUGLAS,35700,15,1,18,70,1,116,4,6,1010
2007,DOUGLAS,36300,29,0,13,63,1,109,2,1,940
2008,DOUGLAS,37000,17,1,6,73,1,140,3,0,917
2009,DOUGLAS,37600,19,0,15,83,0,114,1,2,996
2010,DOUGLAS,38500,4,1,10,52,0,104,0,4,670
2011,DOUGLAS,38650,10,0,24,72,1,180,1,2,907
2012,DOUGLAS,38900,11,1,12,42,2,55,0,1,583
2013,DOUGLAS,39280,124,0,18,44,0,97,2,2,684
2014,DOUGLAS,39700,118,0,17,52,0,106,2,3,689
2015,DOUGLAS,39990,127,2,14,72,1,113,2,2,750
2016,DOUGLAS,40720,119,0,23,84,0,167,6,1,891
2017,DOUGLAS,41420,103,0,8,55,0,116,5,2,697
2018,DOUGLAS,42120,116,1,13,78,1,123,4,4,836
2019,DOUGLAS,42820,96,1,8,54,0,95,5,1,631
2020,DOUGLAS,43750,110,0,7,37,0,65,7,5,549
1990,FERRY,6295,4,1,7,18,2,12,3,0,231
1991,FERRY,6409,12,0,7,8,1,15,3,0,262
1992,FERRY,6773,20,0,12,18,0,18,3,2,314
1993,FERRY,6714,11,0,6,23,0,21,4,0,313
1994,FERRY,6893,22,0,9,24,0,29,4,0,324
1995,FERRY,6927,27,0,6,16,0,11,2,1,325
1996,FERRY,7130,10,0,2,16,0,12,0,1,251
1997,FERRY,7127,7,1,2,12,0,9,2,0,163
1998,FERRY,7042,4,0,8,22,0,13,0,0,163
1999,FERRY,7271,1,0,10,20,0,13,0,0,166
2000,FERRY,7260,4,1,11,29,2,16,0,0,199
2001,FERRY,7300,7,1,17,11,0,10,1,0,172
2002,FERRY,7300,10,0,8,31,0,14,0,0,204
2003,FERRY,7300,4,0,4,11,0,9,0,0,146
2004,FERRY,7300,0,0,0,0,0,0,0,0,0
2005,FERRY,7400,4,0,3,8,0,15,1,0,145
2006,FERRY,7500,5,0,9,21,0,12,1,0,164
2007,FERRY,7550,3,0,3,14,1,6,0,0,129
2008,FERRY,7700,8,0,9,15,1,16,0,0,141
2009,FERRY,7800,5,0,6,12,0,9,0,0,139
2010,FERRY,7850,8,0,8,14,0,6,0,0,142
2011,FERRY,7600,1,0,3,9,0,3,0,0,107
2012,FERRY,7650,11,0,5,7,0,2,1,0,71
2013,FERRY,7650,16,0,6,0,0,6,4,0,69
2014,FERRY,7660,35,0,2,28,0,4,2,0,102
2015,FERRY,7710,26,0,5,3,0,2,1,1,76
2016,FERRY,7700,5,0,0,0,0,0,1,0,7
2017,FERRY,7740,1,0,1,0,0,0,0,0,8
2018,FERRY,7780,7,0,1,0,0,0,0,0,9
2019,FERRY,7830,12,0,0,2,0,2,2,0,36
2020,FERRY,7910,26,0,1,6,0,3,1,0,75
1990,FRANKLIN,37473,60,2,54,237,2,437,5,17,2988
1991,FRANKLIN,39397,47,0,32,238,1,355,16,18,3587
1992,FRANKLIN,40513,79,2,35,226,4,342,17,17,3714
1993,FRANKLIN,42227,80,0,28,212,6,330,14,26,3449
1994,FRANKLIN,43900,78,0,29,228,4,318,6,11,3133
1995,FRANKLIN,45756,75,0,29,296,6,289,14,12,3194
1996,FRANKLIN,46361,66,1,33,247,5,218,17,7,3638
1997,FRANKLIN,47206,57,2,32,169,2,182,10,16,3419
1998,FRANKLIN,47747,55,1,45,193,0,150,8,8,2974
1999,FRANKLIN,48306,51,2,31,170,1,158,9,19,2481
2000,FRANKLIN,49347,62,1,22,165,3,121,6,10,2213
2001,FRANKLIN,50400,45,0,38,184,4,126,9,10,2476
2002,FRANKLIN,51300,65,0,26,174,1,134,8,8,2750
2003,FRANKLIN,53600,49,1,22,182,0,148,10,5,2815
2004,FRANKLIN,57000,58,1,22,190,6,138,2,9,2908
2005,FRANKLIN,60500,36,0,33,216,0,182,8,18,2902
2006,FRANKLIN,64200,50,0,34,267,3,129,6,11,3156
2007,FRANKLIN,67400,51,2,33,215,2,146,5,14,3650
2008,FRANKLIN,70200,49,0,58,246,2,174,2,23,3852
2009,FRANKLIN,72700,58,0,30,234,3,216,2,15,3874
2010,FRANKLIN,75500,62,2,30,199,2,186,9,10,3673
2011,FRANKLIN,80500,87,1,46,211,2,214,2,12,2134
2012,FRANKLIN,82500,74,0,50,166,1,127,4,18,1721
2013,FRANKLIN,84800,517,2,32,184,0,344,11,12,2452
2014,FRANKLIN,86600,506,6,48,255,4,291,13,15,2427
2015,FRANKLIN,87150,488,2,45,281,5,334,13,13,2581
2016,FRANKLIN,88670,478,2,64,317,0,315,18,14,2486
2017,FRANKLIN,90330,591,3,66,302,3,292,10,29,2656
2018,FRANKLIN,92540,601,2,49,251,9,279,16,24,2342
2019,FRANKLIN,94680,525,1,65,258,2,366,20,20,2407
2020,FRANKLIN,96760,458,3,65,210,6,319,17,37,2126
1990,GARFIELD,2248,2,0,1,7,0,2,0,0,208
1991,GARFIELD,2184,3,0,5,5,0,7,1,0,330
1992,GARFIELD,2247,8,0,1,7,0,2,0,0,269
1993,GARFIELD,2172,1,0,3,9,0,6,0,0,259
1994,GARFIELD,2203,1,1,1,17,0,3,0,0,234
1995,GARFIELD,2170,0,0,0,11,0,3,0,0,202
1996,GARFIELD,2164,0,0,1,11,0,3,0,0,274
1997,GARFIELD,2252,1,0,0,29,0,4,0,0,263
1998,GARFIELD,2279,2,0,1,20,0,4,1,0,227
1999,GARFIELD,2388,3,1,4,21,0,3,0,0,245
2000,GARFIELD,2397,2,1,0,18,0,14,1,0,248
2001,GARFIELD,2400,2,0,1,24,0,5,0,0,254
2002,GARFIELD,2400,0,2,0,31,0,4,1,0,266
2003,GARFIELD,2400,2,0,0,14,0,7,1,0,228
2004,GARFIELD,2400,0,0,1,14,0,1,0,0,188
2005,GARFIELD,2400,0,0,1,22,0,8,0,0,203
2006,GARFIELD,2400,1,0,0,20,0,7,0,0,169
2007,GARFIELD,2350,3,1,0,29,0,6,0,0,199
2008,GARFIELD,2300,0,0,0,15,0,0,0,0,154
2009,GARFIELD,2250,1,0,0,17,0,2,0,0,145
2010,GARFIELD,2300,0,0,1,20,0,1,2,0,175
2011,GARFIELD,2250,0,0,1,19,1,3,1,0,182
2012,GARFIELD,2250,1,1,1,5,0,3,0,0,100
2013,GARFIELD,2250,12,0,0,7,0,5,0,0,184
2014,GARFIELD,2240,9,0,2,7,0,1,1,0,199
2015,GARFIELD,2260,14,0,1,6,0,5,1,0,126
2016,GARFIELD,2200,7,0,0,11,0,5,0,0,130
2017,GARFIELD,2200,8,1,1,4,0,3,0,0,176
2018,GARFIELD,2210,5,0,0,7,0,0,0,0,218
2019,GARFIELD,2220,1,0,0,5,0,1,0,0,74
2020,GARFIELD,2225,3,0,0,2,0,0,0,0,117
1990,GRANT,54758,49,1,37,78,2,204,3,4,1479
1991,GRANT,56514,58,2,30,128,2,265,2,6,1524
1992,GRANT,58915,48,0,65,110,3,345,7,6,1780
1993,GRANT,61245,89,3,44,174,3,312,14,5,2122
1994,GRANT,63331,91,2,59,162,0,370,14,5,2367
1995,GRANT,66515,147,1,65,187,2,464,19,5,2621
1996,GRANT,68770,101,4,49,197,2,456,12,9,2522
1997,GRANT,70433,198,1,84,294,3,357,25,10,3743
1998,GRANT,72282,143,5,90,354,4,460,25,10,5110
1999,GRANT,73555,125,3,74,330,5,375,20,13,5074
2000,GRANT,74698,86,3,64,389,3,372,31,20,5695
2001,GRANT,75900,98,1,86,426,2,305,22,15,5824
2002,GRANT,76400,101,7,86,355,3,308,31,25,5288
2003,GRANT,77100,106,7,113,401,2,336,23,17,5484
2004,GRANT,78300,93,5,102,331,4,382,31,9,4928
2005,GRANT,79100,111,4,111,358,6,382,29,36,5061
2006,GRANT,80600,95,2,124,300,3,437,20,25,4597
2007,GRANT,82500,122,3,118,284,3,382,26,17,4710
2008,GRANT,84600,140,2,114,342,10,339,23,28,4847
2009,GRANT,86100,135,4,106,249,15,329,7,17,4361
2010,GRANT,87700,110,3,120,228,7,358,14,39,4517
2011,GRANT,90100,103,1,121,335,7,422,16,21,4542
2012,GRANT,91000,62,3,101,209,3,335,13,24,2131
2013,GRANT,91800,604,6,148,181,3,546,25,33,3086
2014,GRANT,92900,582,4,136,167,1,556,25,28,2839
2015,GRANT,93930,530,3,141,166,7,462,24,37,2696
2016,GRANT,94610,555,1,158,209,1,398,24,13,2546
2017,GRANT,95630,514,0,124,189,4,331,18,24,2296
2018,GRANT,97350,301,1,72,128,0,292,9,10,1539
2019,GRANT,98740,352,1,112,124,0,315,12,13,2364
2020,GRANT,100130,400,2,97,87,0,253,8,15,1781
1990,GRAYS HARBOR,64175,88,0,91,212,4,445,15,7,5278
1991,GRAYS HARBOR,65296,61,6,106,228,8,635,9,15,6164
1992,GRAYS HARBOR,66157,84,7,88,240,2,498,22,23,5843
1993,GRAYS HARBOR,67176,59,4,89,284,4,465,19,16,6079
1994,GRAYS HARBOR,67373,54,15,63,356,6,496,9,19,6320
1995,GRAYS HARBOR,67880,75,10,86,450,2,516,14,9,6677
1996,GRAYS HARBOR,68162,66,6,65,326,6,473,20,11,6190
1997,GRAYS HARBOR,68188,66,2,83,509,6,461,14,12,5937
1998,GRAYS HARBOR,67587,55,6,78,442,1,504,14,16,5833
1999,GRAYS HARBOR,67349,56,3,81,425,0,407,12,10,5227
2000,GRAYS HARBOR,67194,38,1,62,376,2,375,14,4,4665
2001,GRAYS HARBOR,68500,35,8,74,394,1,379,16,7,4579
2002,GRAYS HARBOR,68400,29,8,71,419,4,367,13,11,4522
2003,GRAYS HARBOR,68800,55,12,85,533,2,399,15,9,4671
2004,GRAYS HARBOR,69200,57,12,137,445,4,456,12,15,4526
2005,GRAYS HARBOR,69800,63,15,118,417,2,535,12,18,4627
2006,GRAYS HARBOR,70400,62,1,160,554,3,395,7,16,4985
2007,GRAYS HARBOR,70800,56,8,128,557,5,423,12,27,4916
2008,GRAYS HARBOR,70900,62,5,111,551,0,425,7,20,4451
2009,GRAYS HARBOR,71200,50,9,111,448,2,438,8,30,3975
2010,GRAYS HARBOR,71600,52,3,181,407,1,519,9,25,4006
2011,GRAYS HARBOR,72900,54,3,176,444,4,486,15,18,4022
2012,GRAYS HARBOR,73150,30,0,84,228,1,378,7,22,2968
2013,GRAYS HARBOR,73200,373,0,150,258,2,624,31,17,3465
2014,GRAYS HARBOR,73300,439,6,102,222,1,498,40,20,2920
2015,GRAYS HARBOR,73110,491,2,99,306,1,501,19,18,2988
2016,GRAYS HARBOR,72820,406,5,75,247,2,532,44,11,2687
2017,GRAYS HARBOR,72970,426,2,122,250,8,519,42,15,2635
2018,GRAYS HARBOR,73610,460,5,107,218,1,597,33,12,2730
2019,GRAYS HARBOR,74160,358,4,51,314,2,415,29,9,2478
2020,GRAYS HARBOR,74720,410,2,69,231,3,445,14,4,2406
1990,ISLAND,60195,18,2,30,54,0,108,8,0,1135
1991,ISLAND,62107,25,1,40,51,1,146,10,0,1512
1992,ISLAND,63947,25,3,18,60,0,137,4,1,1310
1993,ISLAND,64193,32,0,34,78,0,96,16,2,1365
1994,ISLAND,66239,26,0,27,64,0,130,4,3,1701
1995,ISLAND,66462,33,0,23,90,2,126,9,4,1759
1996,ISLAND,67856,30,1,18,105,0,93,5,5,1742
1997,ISLAND,68967,20,0,21,86,1,123,11,2,1840
